date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:24	19268/19268	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2008:01:55%20GMT	https://mosio.co.jp/robots.txt		(from )
16:41:25	17567/17567	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:25%20GMT	https://mosio.co.jp/	D:/LayoutWEb/Misio/mosio.co.jp/index.html	(from )
16:41:25	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	D:/LayoutWEb/Misio/www.google-analytics.com/analytics.js	(from https://mosio.co.jp/)
16:41:25	8521/8521	---M-Z	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202017%2005:54:27%20GMT	https://mosio.co.jp/img/apple-touch-icon.png	D:/LayoutWEb/Misio/mosio.co.jp/img/apple-touch-icon.png	(from https://mosio.co.jp/)
16:41:26	1150/1150	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	date:Sat,%2014%20Oct%202017%2014:49:26%20GMT	https://mosio.co.jp/img/favicon.ico	D:/LayoutWEb/Misio/mosio.co.jp/img/favicon.ico	(from https://mosio.co.jp/)
16:41:26	72691/72691	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Sep%202019%2011:29:46%20GMT	https://mosio.co.jp/css/style.css?201909	D:/LayoutWEb/Misio/mosio.co.jp/css/stylec0c1.css	(from https://mosio.co.jp/)
16:41:26	15607/15607	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Sep%202021%2020:02:20%20GMT	https://mosio.co.jp/css/common.css?2021	D:/LayoutWEb/Misio/mosio.co.jp/css/common05a5.css	(from https://mosio.co.jp/)
16:41:27	21176/21176	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:27%20GMT	https://mosio.co.jp/product.php	D:/LayoutWEb/Misio/mosio.co.jp/product.html	(from https://mosio.co.jp/)
16:41:27	22008/22008	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:27%20GMT	https://mosio.co.jp/about.php	D:/LayoutWEb/Misio/mosio.co.jp/about.html	(from https://mosio.co.jp/)
16:41:28	29523/29523	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:28%20GMT	https://mosio.co.jp/recipe.php	D:/LayoutWEb/Misio/mosio.co.jp/recipe.html	(from https://mosio.co.jp/)
16:41:28	17408/17408	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:28%20GMT	https://mosio.co.jp/column.php	D:/LayoutWEb/Misio/mosio.co.jp/column.html	(from https://mosio.co.jp/)
16:41:28	14507/14507	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:28%20GMT	https://mosio.co.jp/shop.php	D:/LayoutWEb/Misio/mosio.co.jp/shop.html	(from https://mosio.co.jp/)
16:41:29	18651/18651	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:29%20GMT	https://mosio.co.jp/faq.php	D:/LayoutWEb/Misio/mosio.co.jp/faq.html	(from https://mosio.co.jp/)
16:41:29	12157/12157	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2009:41:29%20GMT	https://mosio.co.jp/company.php	D:/LayoutWEb/Misio/mosio.co.jp/company.html	(from https://mosio.co.jp/)
16:41:29	856/856	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Oct%202017%2014:49:34%20GMT	https://mosio.co.jp/img/sns2_w.svg	D:/LayoutWEb/Misio/mosio.co.jp/img/sns2_w.svg	(from https://mosio.co.jp/)
